aws.sdk.kotlin:codecatalyst-jvm;aws.sdk.kotlin;codecatalyst-jvm
aws.sdk.kotlin:cloudwatch;aws.sdk.kotlin;cloudwatch
aws.sdk.kotlin:codebuild-jvm;aws.sdk.kotlin;codebuild-jvm
aws.sdk.kotlin:cloudwatchevents-jvm;aws.sdk.kotlin;cloudwatchevents-jvm
aws.sdk.kotlin:cloudtrail;aws.sdk.kotlin;cloudtrail
aws.sdk.kotlin:cloudtraildata;aws.sdk.kotlin;cloudtraildata
aws.sdk.kotlin:cloudwatch-jvm;aws.sdk.kotlin;cloudwatch-jvm
aws.sdk.kotlin:cloudtrail-jvm;aws.sdk.kotlin;cloudtrail-jvm
aws.sdk.kotlin:cloudtraildata-jvm;aws.sdk.kotlin;cloudtraildata-jvm
aws.sdk.kotlin:cloudfront;aws.sdk.kotlin;cloudfront
aws.sdk.kotlin:cloudhsmv2;aws.sdk.kotlin;cloudhsmv2
aws.sdk.kotlin:cloudsearch;aws.sdk.kotlin;cloudsearch
aws.sdk.kotlin:cloudsearchdomain;aws.sdk.kotlin;cloudsearchdomain
aws.sdk.kotlin:cloudformation;aws.sdk.kotlin;cloudformation
aws.sdk.kotlin:clouddirectory;aws.sdk.kotlin;clouddirectory
aws.sdk.kotlin:cloudfront-jvm;aws.sdk.kotlin;cloudfront-jvm
aws.sdk.kotlin:cloudhsm;aws.sdk.kotlin;cloudhsm
aws.sdk.kotlin:cloudformation-jvm;aws.sdk.kotlin;cloudformation-jvm
aws.sdk.kotlin:cloudhsmv2-jvm;aws.sdk.kotlin;cloudhsmv2-jvm
aws.sdk.kotlin:cloudsearch-jvm;aws.sdk.kotlin;cloudsearch-jvm
aws.sdk.kotlin:cloudsearchdomain-jvm;aws.sdk.kotlin;cloudsearchdomain-jvm
aws.sdk.kotlin:cloudfrontkeyvaluestore;aws.sdk.kotlin;cloudfrontkeyvaluestore
aws.sdk.kotlin:clouddirectory-jvm;aws.sdk.kotlin;clouddirectory-jvm
aws.sdk.kotlin:detective-jvm;aws.sdk.kotlin;detective-jvm
aws.sdk.kotlin:dax;aws.sdk.kotlin;dax
aws.sdk.kotlin:datasync;aws.sdk.kotlin;datasync
aws.sdk.kotlin:dax-jvm;aws.sdk.kotlin;dax-jvm
aws.sdk.kotlin:datapipeline;aws.sdk.kotlin;datapipeline
aws.sdk.kotlin:customerprofiles;aws.sdk.kotlin;customerprofiles
aws.sdk.kotlin:databasemigrationservice;aws.sdk.kotlin;databasemigrationservice
aws.sdk.kotlin:databrew;aws.sdk.kotlin;databrew
aws.sdk.kotlin:dataexchange;aws.sdk.kotlin;dataexchange
aws.sdk.kotlin:datasync-jvm;aws.sdk.kotlin;datasync-jvm
aws.sdk.kotlin:datapipeline-jvm;aws.sdk.kotlin;datapipeline-jvm
aws.sdk.kotlin:costexplorer;aws.sdk.kotlin;costexplorer
aws.sdk.kotlin:customerprofiles-jvm;aws.sdk.kotlin;customerprofiles-jvm
aws.sdk.kotlin:databasemigrationservice-jvm;aws.sdk.kotlin;databasemigrationservice-jvm
aws.sdk.kotlin:databrew-jvm;aws.sdk.kotlin;databrew-jvm
aws.sdk.kotlin:dataexchange-jvm;aws.sdk.kotlin;dataexchange-jvm
aws.sdk.kotlin:costoptimizationhub;aws.sdk.kotlin;costoptimizationhub
aws.sdk.kotlin:costandusagereportservice;aws.sdk.kotlin;costandusagereportservice
aws.sdk.kotlin:controltower;aws.sdk.kotlin;controltower
aws.sdk.kotlin:costexplorer-jvm;aws.sdk.kotlin;costexplorer-jvm
aws.sdk.kotlin:costoptimizationhub-jvm;aws.sdk.kotlin;costoptimizationhub-jvm
aws.sdk.kotlin:costandusagereportservice-jvm;aws.sdk.kotlin;costandusagereportservice-jvm
aws.sdk.kotlin:connectparticipant;aws.sdk.kotlin;connectparticipant
aws.sdk.kotlin:controlcatalog;aws.sdk.kotlin;controlcatalog
aws.sdk.kotlin:controltower-jvm;aws.sdk.kotlin;controltower-jvm
aws.sdk.kotlin:connect;aws.sdk.kotlin;connect
aws.sdk.kotlin:connectcases;aws.sdk.kotlin;connectcases
aws.sdk.kotlin:connectcontactlens;aws.sdk.kotlin;connectcontactlens
aws.sdk.kotlin:connectcampaignsv2;aws.sdk.kotlin;connectcampaignsv2
aws.sdk.kotlin:controlcatalog-jvm;aws.sdk.kotlin;controlcatalog-jvm
aws.sdk.kotlin:configservice;aws.sdk.kotlin;configservice
aws.sdk.kotlin:connectparticipant-jvm;aws.sdk.kotlin;connectparticipant-jvm
aws.sdk.kotlin:connect-jvm;aws.sdk.kotlin;connect-jvm
aws.sdk.kotlin:connectcampaigns;aws.sdk.kotlin;connectcampaigns
aws.sdk.kotlin:connectcases-jvm;aws.sdk.kotlin;connectcases-jvm
aws.sdk.kotlin:connectcontactlens-jvm;aws.sdk.kotlin;connectcontactlens-jvm
aws.sdk.kotlin:configservice-jvm;aws.sdk.kotlin;configservice-jvm
aws.sdk.kotlin:connectcampaignsv2-jvm;aws.sdk.kotlin;connectcampaignsv2-jvm
aws.sdk.kotlin:computeoptimizer;aws.sdk.kotlin;computeoptimizer
aws.sdk.kotlin:comprehendmedical;aws.sdk.kotlin;comprehendmedical
aws.sdk.kotlin:connectcampaigns-jvm;aws.sdk.kotlin;connectcampaigns-jvm
aws.sdk.kotlin:comprehend;aws.sdk.kotlin;comprehend
aws.sdk.kotlin:cognitosync;aws.sdk.kotlin;cognitosync
aws.sdk.kotlin:computeoptimizer-jvm;aws.sdk.kotlin;computeoptimizer-jvm
aws.sdk.kotlin:cognitoidentityprovider;aws.sdk.kotlin;cognitoidentityprovider
aws.sdk.kotlin:comprehendmedical-jvm;aws.sdk.kotlin;comprehendmedical-jvm
aws.sdk.kotlin:comprehend-jvm;aws.sdk.kotlin;comprehend-jvm
aws.sdk.kotlin:cognitoidentity;aws.sdk.kotlin;cognitoidentity
aws.sdk.kotlin:cognitosync-jvm;aws.sdk.kotlin;cognitosync-jvm
aws.sdk.kotlin:cognitoidentityprovider-jvm;aws.sdk.kotlin;cognitoidentityprovider-jvm
aws.sdk.kotlin:codestarnotifications;aws.sdk.kotlin;codestarnotifications
aws.sdk.kotlin:codepipeline;aws.sdk.kotlin;codepipeline
aws.sdk.kotlin:codestarconnections;aws.sdk.kotlin;codestarconnections
aws.sdk.kotlin:cognitoidentity-jvm;aws.sdk.kotlin;cognitoidentity-jvm
aws.sdk.kotlin:codegurusecurity;aws.sdk.kotlin;codegurusecurity
aws.sdk.kotlin:codegurureviewer;aws.sdk.kotlin;codegurureviewer
aws.sdk.kotlin:codestarnotifications-jvm;aws.sdk.kotlin;codestarnotifications-jvm
aws.sdk.kotlin:codeguruprofiler;aws.sdk.kotlin;codeguruprofiler
aws.sdk.kotlin:codepipeline-jvm;aws.sdk.kotlin;codepipeline-jvm
aws.sdk.kotlin:codestarconnections-jvm;aws.sdk.kotlin;codestarconnections-jvm
aws.sdk.kotlin:codecommit;aws.sdk.kotlin;codecommit
aws.sdk.kotlin:codedeploy;aws.sdk.kotlin;codedeploy
aws.sdk.kotlin:codegurusecurity-jvm;aws.sdk.kotlin;codegurusecurity-jvm
aws.sdk.kotlin:codegurureviewer-jvm;aws.sdk.kotlin;codegurureviewer-jvm
aws.sdk.kotlin:codeconnections;aws.sdk.kotlin;codeconnections
aws.sdk.kotlin:codeguruprofiler-jvm;aws.sdk.kotlin;codeguruprofiler-jvm
aws.sdk.kotlin:codecommit-jvm;aws.sdk.kotlin;codecommit-jvm
aws.sdk.kotlin:codedeploy-jvm;aws.sdk.kotlin;codedeploy-jvm
aws.sdk.kotlin:cloudwatchlogs;aws.sdk.kotlin;cloudwatchlogs
aws.sdk.kotlin:codecatalyst;aws.sdk.kotlin;codecatalyst
aws.sdk.kotlin:codeconnections-jvm;aws.sdk.kotlin;codeconnections-jvm
aws.sdk.kotlin:codeartifact;aws.sdk.kotlin;codeartifact
aws.sdk.kotlin:codebuild;aws.sdk.kotlin;codebuild
aws.sdk.kotlin:cloudwatchevents;aws.sdk.kotlin;cloudwatchevents
aws.sdk.kotlin:cloudwatchlogs-jvm;aws.sdk.kotlin;cloudwatchlogs-jvm
aws.sdk.kotlin:codeartifact-jvm;aws.sdk.kotlin;codeartifact-jvm
aws.sdk.kotlin:codecatalyst-jvm;aws.sdk.kotlin;codecatalyst-jvm
aws.sdk.kotlin:cloudwatch;aws.sdk.kotlin;cloudwatch
aws.sdk.kotlin:codebuild-jvm;aws.sdk.kotlin;codebuild-jvm
aws.sdk.kotlin:cloudwatchevents-jvm;aws.sdk.kotlin;cloudwatchevents-jvm
aws.sdk.kotlin:cloudtrail;aws.sdk.kotlin;cloudtrail
aws.sdk.kotlin:cloudtraildata;aws.sdk.kotlin;cloudtraildata
aws.sdk.kotlin:cloudwatch-jvm;aws.sdk.kotlin;cloudwatch-jvm
aws.sdk.kotlin:cloudtrail-jvm;aws.sdk.kotlin;cloudtrail-jvm
aws.sdk.kotlin:cloudtraildata-jvm;aws.sdk.kotlin;cloudtraildata-jvm
aws.sdk.kotlin:cloudfront;aws.sdk.kotlin;cloudfront
aws.sdk.kotlin:cloudhsmv2;aws.sdk.kotlin;cloudhsmv2
aws.sdk.kotlin:cloudsearch;aws.sdk.kotlin;cloudsearch
aws.sdk.kotlin:cloudsearchdomain;aws.sdk.kotlin;cloudsearchdomain
aws.sdk.kotlin:cloudformation;aws.sdk.kotlin;cloudformation
aws.sdk.kotlin:clouddirectory;aws.sdk.kotlin;clouddirectory
aws.sdk.kotlin:cloudfront-jvm;aws.sdk.kotlin;cloudfront-jvm
aws.sdk.kotlin:cloudhsm;aws.sdk.kotlin;cloudhsm
aws.sdk.kotlin:cloudformation-jvm;aws.sdk.kotlin;cloudformation-jvm
aws.sdk.kotlin:cloudhsmv2-jvm;aws.sdk.kotlin;cloudhsmv2-jvm
aws.sdk.kotlin:cloudsearch-jvm;aws.sdk.kotlin;cloudsearch-jvm
aws.sdk.kotlin:cloudsearchdomain-jvm;aws.sdk.kotlin;cloudsearchdomain-jvm
aws.sdk.kotlin:cloudfrontkeyvaluestore;aws.sdk.kotlin;cloudfrontkeyvaluestore
aws.sdk.kotlin:clouddirectory-jvm;aws.sdk.kotlin;clouddirectory-jvm
aws.sdk.kotlin:cloudhsm-jvm;aws.sdk.kotlin;cloudhsm-jvm
aws.sdk.kotlin:dax;aws.sdk.kotlin;dax
aws.sdk.kotlin:datasync;aws.sdk.kotlin;datasync
aws.sdk.kotlin:dax-jvm;aws.sdk.kotlin;dax-jvm
aws.sdk.kotlin:datapipeline;aws.sdk.kotlin;datapipeline
aws.sdk.kotlin:customerprofiles;aws.sdk.kotlin;customerprofiles
aws.sdk.kotlin:databasemigrationservice;aws.sdk.kotlin;databasemigrationservice
aws.sdk.kotlin:databrew;aws.sdk.kotlin;databrew
aws.sdk.kotlin:dataexchange;aws.sdk.kotlin;dataexchange
aws.sdk.kotlin:datasync-jvm;aws.sdk.kotlin;datasync-jvm
aws.sdk.kotlin:datapipeline-jvm;aws.sdk.kotlin;datapipeline-jvm
aws.sdk.kotlin:costexplorer;aws.sdk.kotlin;costexplorer
aws.sdk.kotlin:customerprofiles-jvm;aws.sdk.kotlin;customerprofiles-jvm
aws.sdk.kotlin:databasemigrationservice-jvm;aws.sdk.kotlin;databasemigrationservice-jvm
aws.sdk.kotlin:databrew-jvm;aws.sdk.kotlin;databrew-jvm
aws.sdk.kotlin:dataexchange-jvm;aws.sdk.kotlin;dataexchange-jvm
aws.sdk.kotlin:costoptimizationhub;aws.sdk.kotlin;costoptimizationhub
aws.sdk.kotlin:costandusagereportservice;aws.sdk.kotlin;costandusagereportservice
aws.sdk.kotlin:controltower;aws.sdk.kotlin;controltower
aws.sdk.kotlin:costexplorer-jvm;aws.sdk.kotlin;costexplorer-jvm
aws.sdk.kotlin:costoptimizationhub-jvm;aws.sdk.kotlin;costoptimizationhub-jvm
aws.sdk.kotlin:costandusagereportservice-jvm;aws.sdk.kotlin;costandusagereportservice-jvm
aws.sdk.kotlin:connectparticipant;aws.sdk.kotlin;connectparticipant
aws.sdk.kotlin:controlcatalog;aws.sdk.kotlin;controlcatalog
aws.sdk.kotlin:controltower-jvm;aws.sdk.kotlin;controltower-jvm
aws.sdk.kotlin:connect;aws.sdk.kotlin;connect
aws.sdk.kotlin:connectcases;aws.sdk.kotlin;connectcases
aws.sdk.kotlin:connectcontactlens;aws.sdk.kotlin;connectcontactlens
aws.sdk.kotlin:connectcampaignsv2;aws.sdk.kotlin;connectcampaignsv2
aws.sdk.kotlin:controlcatalog-jvm;aws.sdk.kotlin;controlcatalog-jvm
aws.sdk.kotlin:configservice;aws.sdk.kotlin;configservice
aws.sdk.kotlin:connectparticipant-jvm;aws.sdk.kotlin;connectparticipant-jvm
aws.sdk.kotlin:connect-jvm;aws.sdk.kotlin;connect-jvm
aws.sdk.kotlin:connectcampaigns;aws.sdk.kotlin;connectcampaigns
aws.sdk.kotlin:connectcases-jvm;aws.sdk.kotlin;connectcases-jvm
aws.sdk.kotlin:connectcontactlens-jvm;aws.sdk.kotlin;connectcontactlens-jvm
aws.sdk.kotlin:configservice-jvm;aws.sdk.kotlin;configservice-jvm
aws.sdk.kotlin:connectcampaignsv2-jvm;aws.sdk.kotlin;connectcampaignsv2-jvm
aws.sdk.kotlin:computeoptimizer;aws.sdk.kotlin;computeoptimizer
aws.sdk.kotlin:comprehendmedical;aws.sdk.kotlin;comprehendmedical
aws.sdk.kotlin:connectcampaigns-jvm;aws.sdk.kotlin;connectcampaigns-jvm
aws.sdk.kotlin:comprehend;aws.sdk.kotlin;comprehend
aws.sdk.kotlin:cognitosync;aws.sdk.kotlin;cognitosync
aws.sdk.kotlin:computeoptimizer-jvm;aws.sdk.kotlin;computeoptimizer-jvm
aws.sdk.kotlin:cognitoidentityprovider;aws.sdk.kotlin;cognitoidentityprovider
aws.sdk.kotlin:comprehendmedical-jvm;aws.sdk.kotlin;comprehendmedical-jvm
aws.sdk.kotlin:comprehend-jvm;aws.sdk.kotlin;comprehend-jvm
aws.sdk.kotlin:cognitoidentity;aws.sdk.kotlin;cognitoidentity
aws.sdk.kotlin:cognitosync-jvm;aws.sdk.kotlin;cognitosync-jvm
aws.sdk.kotlin:cognitoidentityprovider-jvm;aws.sdk.kotlin;cognitoidentityprovider-jvm
aws.sdk.kotlin:codestarnotifications;aws.sdk.kotlin;codestarnotifications
aws.sdk.kotlin:codepipeline;aws.sdk.kotlin;codepipeline
aws.sdk.kotlin:codestarconnections;aws.sdk.kotlin;codestarconnections
aws.sdk.kotlin:cognitoidentity-jvm;aws.sdk.kotlin;cognitoidentity-jvm
aws.sdk.kotlin:codegurusecurity;aws.sdk.kotlin;codegurusecurity
aws.sdk.kotlin:codegurureviewer;aws.sdk.kotlin;codegurureviewer
aws.sdk.kotlin:codestarnotifications-jvm;aws.sdk.kotlin;codestarnotifications-jvm
aws.sdk.kotlin:codeguruprofiler;aws.sdk.kotlin;codeguruprofiler
aws.sdk.kotlin:codepipeline-jvm;aws.sdk.kotlin;codepipeline-jvm
aws.sdk.kotlin:codestarconnections-jvm;aws.sdk.kotlin;codestarconnections-jvm
aws.sdk.kotlin:codecommit;aws.sdk.kotlin;codecommit
aws.sdk.kotlin:codedeploy;aws.sdk.kotlin;codedeploy
